userId,sectionId,rating,sectionname
1,23,4.18,导数的几何定义
1,47,2.78,曲线的渐近线
1,24,3.85,导数的可导性和连续性
1,83,1.1,n阶常系数齐次线性方程通解的求法
1,18,2.68,连续函数的性质
1,74,2.59,可降价的高阶微分方程内容
1,51,1.09,不定积分的性质
1,59,4.16,可积的必要条件与可积函数类
1,33,3.14,微分的运算法则
1,32,4.05,微分的概念
1,2,4.32,初等性态
1,70,3.35,齐次方程
1,69,2.46,可分离变量的微分方程内容
1,12,4.03,复合函数的极限运算法则
1,78,0.23,n阶非齐次线性方程通解的结构
1,66,3.07,定积分在物理上的应用
1,77,3.85,n阶齐次线性方程通解的结构
1,65,4.67,定积分在几何上的应用
1,42,0.75,其他类型不定式的极限
1,53,0.05,分布积分法
1,1,2.55,函数概念
1,52,2.42,换元积分法
1,58,2.59,定积分的性质
1,14,4.32,两个重要极限
1,15,0.04,柯西审敛原理
1,39,4.87,带有拉格朗日型余项的泰勒公式
1,33,0.79,微分的运算法则
1,54,4.36,有理函数的不定积分
1,74,2.53,可降价的高阶微分方程内容
1,72,1.51,一阶线性微分方程
1,83,2.9,n阶常系数齐次线性方程通解的求法
1,29,0.71,隐函数求导法则
1,16,3.47,函数的连续性
1,75,0.3,n阶线性微分方程及其解的结构
1,11,2.96,极限的四则运算
1,1,3.69,函数概念
1,32,2.72,微分的概念
1,75,4.62,n阶线性微分方程及其解的结构
1,44,3.61,极值
1,63,1.64,无界函数的反常积分
1,81,4.89,二阶常系数微分方程实例
1,13,4.05,极限存在准则
1,71,0.27,可化为齐次方程的方程
1,36,4.54,费马定理与罗尔定理
1,78,3.34,n阶非齐次线性方程通解的结构
1,7,0.48,自变量趋于有限值时函数的极限
1,13,0.55,极限存在准则
1,36,3.43,费马定理与罗尔定理
1,28,2.4,高阶导数内容
1,8,2.23,自变量趋于无穷大时函数的极限
2,13,3.09,极限存在准则
2,7,2.45,自变量趋于有限值时函数的极限
2,28,4.73,高阶导数内容
2,71,1.36,可化为齐次方程的方程
2,79,4.75,刘维儿公式
2,5,4.28,数列的极限定义
2,16,1.66,函数的连续性
2,31,4.99,相关变化率
2,17,4,函数的间断点
2,10,4.78,无穷小量与无穷大量性质
2,82,2.04,二阶常系数齐次线性方程通解的求法
2,39,4.04,带有拉格朗日型余项的泰勒公式
2,36,0.69,费马定理与罗尔定理
2,85,4.85,常系数线性微分方程组解法
2,6,1.42,数列的极限性质
2,63,0.74,无界函数的反常积分
2,63,3.64,无界函数的反常积分
2,63,3.82,无界函数的反常积分
2,42,3.59,其他类型不定式的极限
2,20,3.18,介值定理
2,71,1.76,可化为齐次方程的方程
2,16,2.73,函数的连续性
2,50,0.22,基本积分表
2,82,1.66,二阶常系数齐次线性方程通解的求法
2,27,3.64,复合函数的求导法则
2,33,0.2,微分的运算法则
2,18,1.89,连续函数的性质
2,12,2.01,复合函数的极限运算法则
2,21,4.47,一致连续性
2,45,3.43,最值
2,8,3.83,自变量趋于无穷大时函数的极限
2,76,1.37,函数组的线性相关性
2,30,2.01,由参数方程所确定的函数求导法
2,16,2.19,函数的连续性
2,65,4.06,定积分在几何上的应用
2,40,2.99,0/0型不定式的极限
2,65,3.56,定积分在几何上的应用
2,36,1.6,费马定理与罗尔定理
2,16,4.89,函数的连续性
2,39,0.79,带有拉格朗日型余项的泰勒公式
2,10,2.97,无穷小量与无穷大量性质
2,8,0.95,自变量趋于无穷大时函数的极限
2,73,0.05,可化为一阶线性微分方程的方程
2,42,3.01,其他类型不定式的极限
2,26,2.58,反函数的求导法则
2,59,1.77,可积的必要条件与可积函数类
2,12,1.21,复合函数的极限运算法则
2,56,4.71,某些无理根式的不定积分
2,63,0.88,无界函数的反常积分
2,50,2.54,基本积分表
3,59,1.62,可积的必要条件与可积函数类
3,45,3.15,最值
3,36,2.77,费马定理与罗尔定理
3,14,3.3,两个重要极限
3,6,3.16,数列的极限性质
3,61,1.95,定积分的换元法与分部积分法
3,76,4.37,函数组的线性相关性
3,8,3.27,自变量趋于无穷大时函数的极限
3,66,1.57,定积分在物理上的应用
3,15,2.62,柯西审敛原理
3,28,3.97,高阶导数内容
3,57,3,定积分的概念
3,75,3.39,n阶线性微分方程及其解的结构
3,19,3.71,最大值最小值定理
3,71,4.6,可化为齐次方程的方程
3,12,4.44,复合函数的极限运算法则
3,6,4.56,数列的极限性质
3,50,4.33,基本积分表
3,30,4.67,由参数方程所确定的函数求导法
3,69,0.79,可分离变量的微分方程内容
3,38,4.08,带有佩亚诺型余项的泰勒公式
3,23,4.46,导数的几何定义
3,44,4.77,极值
3,26,3.33,反函数的求导法则
3,39,4.05,带有拉格朗日型余项的泰勒公式
3,73,2.93,可化为一阶线性微分方程的方程
3,20,2.89,介值定理
3,55,2.06,三角有理函数的不定积分
3,64,2.04,定积分的元素法
3,2,1.67,初等性态
3,68,0.85,基本定义
3,55,3.68,三角有理函数的不定积分
3,17,0.96,函数的间断点
3,28,0.27,高阶导数内容
3,15,2.33,柯西审敛原理
3,82,1.33,二阶常系数齐次线性方程通解的求法
3,6,2.74,数列的极限性质
3,33,4.82,微分的运算法则
3,47,4.57,曲线的渐近线
3,60,2.69,微积分的基本定理与基本公式
3,64,2.01,定积分的元素法
3,66,3.82,定积分在物理上的应用
3,49,0.9,原函数的不定积分的概念
3,29,0.98,隐函数求导法则
3,39,0.43,带有拉格朗日型余项的泰勒公式
3,16,0.02,函数的连续性
3,68,1.56,基本定义
3,67,2.1,引例
3,28,0.99,高阶导数内容
3,45,2.25,最值
4,20,4.57,介值定理
4,15,0.8,柯西审敛原理
4,81,1.13,二阶常系数微分方程实例
4,7,3.31,自变量趋于有限值时函数的极限
4,42,1.29,其他类型不定式的极限
4,51,4.31,不定积分的性质
4,54,4.02,有理函数的不定积分
4,64,0.72,定积分的元素法
4,55,0.97,三角有理函数的不定积分
4,66,0.52,定积分在物理上的应用
4,70,4.99,齐次方程
4,56,0.79,某些无理根式的不定积分
4,5,2.58,数列的极限定义
4,22,1.97,导数的定义
4,67,0.46,引例
4,67,3.6,引例
4,64,0.43,定积分的元素法
4,65,4.51,定积分在几何上的应用
4,32,4.69,微分的概念
4,10,3.97,无穷小量与无穷大量性质
4,27,3.81,复合函数的求导法则
4,64,2.26,定积分的元素法
4,61,4.42,定积分的换元法与分部积分法
4,53,4.97,分布积分法
4,49,2.28,原函数的不定积分的概念
4,41,4.49,无穷/无穷型不定式的极限
4,27,3.91,复合函数的求导法则
4,37,4.55,拉格朗日中值定理与柯西中值定理
4,46,0.88,函数的凹凸性与拐点
4,70,0.62,齐次方程
4,16,3.17,函数的连续性
4,38,0.98,带有佩亚诺型余项的泰勒公式
4,20,2.68,介值定理
4,75,2.69,n阶线性微分方程及其解的结构
4,46,0.57,函数的凹凸性与拐点
4,4,1.09,初等函数
4,23,0.64,导数的几何定义
4,83,1.99,n阶常系数齐次线性方程通解的求法
4,54,2.29,有理函数的不定积分
4,6,3.92,数列的极限性质
4,85,3.91,常系数线性微分方程组解法
4,17,2.19,函数的间断点
4,41,3.79,无穷/无穷型不定式的极限
4,49,2.7,原函数的不定积分的概念
4,40,3.64,0/0型不定式的极限
4,23,4.02,导数的几何定义
4,42,4.58,其他类型不定式的极限
4,32,0.33,微分的概念
4,55,1.71,三角有理函数的不定积分
4,28,3.98,高阶导数内容
5,54,1.99,有理函数的不定积分
5,3,2.08,函数运算
5,14,2.73,两个重要极限
5,23,2.75,导数的几何定义
5,75,3.83,n阶线性微分方程及其解的结构
5,19,4.87,最大值最小值定理
5,53,2.88,分布积分法
5,45,1.88,最值
5,74,0.33,可降价的高阶微分方程内容
5,12,3.77,复合函数的极限运算法则
5,7,4.04,自变量趋于有限值时函数的极限
5,7,3.08,自变量趋于有限值时函数的极限
